Kommune;Indikator;Indikator_Original;Einheit;Jahr;Wert;Dateiname
Bochum, kreisfreie Stadt;Erwerbstätige Aufstocker:innen - Gesamt;Erwerbstätige Aufstocker:innen - Gesamt (%);%;2016;23.3;bochum_Erwerbstaetige_Aufstockende.csv
Bochum, kreisfreie Stadt;Erwerbstätige Aufstocker:innen - Gesamt;Erwerbstätige Aufstocker:innen - Gesamt (%);%;2017;23.4;bochum_Erwerbstaetige_Aufstockende.csv
Bochum, kreisfreie Stadt;Erwerbstätige Aufstocker:innen - Gesamt;Erwerbstätige Aufstocker:innen - Gesamt (%);%;2018;23.9;bochum_Erwerbstaetige_Aufstockende.csv
Bochum, kreisfreie Stadt;Erwerbstätige Aufstocker:innen - Gesamt;Erwerbstätige Aufstocker:innen - Gesamt (%);%;2019;23.8;bochum_Erwerbstaetige_Aufstockende.csv
Bochum, kreisfreie Stadt;Erwerbstätige Aufstocker:innen - Gesamt;Erwerbstätige Aufstocker:innen - Gesamt (%);%;2020;21.4;bochum_Erwerbstaetige_Aufstockende.csv
Bochum, kreisfreie Stadt;Erwerbstätige Aufstocker:innen - Gesamt;Erwerbstätige Aufstocker:innen - Gesamt (%);%;2021;22.3;bochum_Erwerbstaetige_Aufstockende.csv
Bochum, kreisfreie Stadt;Erwerbstätige Aufstocker:innen - Gesamt;Erwerbstätige Aufstocker:innen - Gesamt (%);%;2022;20.6;bochum_Erwerbstaetige_Aufstockende.csv
Bochum, kreisfreie Stadt;Erwerbstätige Aufstocker:innen - Gesamt;Erwerbstätige Aufstocker:innen - Gesamt (%);%;2023;21.1;bochum_Erwerbstaetige_Aufstockende.csv
Bochum, kreisfreie Stadt;Existenzgründungen;Existenzgründungen (Neuerrichtungen je 1.000 Einwohner:innen);Neuerrichtungen je 1.000 Einwohner:innen;2016;6.3;bochum_Existenzgruendungen.csv
Bochum, kreisfreie Stadt;Existenzgründungen;Existenzgründungen (Neuerrichtungen je 1.000 Einwohner:innen);Neuerrichtungen je 1.000 Einwohner:innen;2017;6.4;bochum_Existenzgruendungen.csv
Bochum, kreisfreie Stadt;Existenzgründungen;Existenzgründungen (Neuerrichtungen je 1.000 Einwohner:innen);Neuerrichtungen je 1.000 Einwohner:innen;2018;7.2;bochum_Existenzgruendungen.csv
Bochum, kreisfreie Stadt;Existenzgründungen;Existenzgründungen (Neuerrichtungen je 1.000 Einwohner:innen);Neuerrichtungen je 1.000 Einwohner:innen;2019;7.1;bochum_Existenzgruendungen.csv
Bochum, kreisfreie Stadt;Existenzgründungen;Existenzgründungen (Neuerrichtungen je 1.000 Einwohner:innen);Neuerrichtungen je 1.000 Einwohner:innen;2020;6.6;bochum_Existenzgruendungen.csv
